tijdstip;locatie;component;waarde;LKI
2015-08-14 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,72923;1
2015-08-14 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,2462;1
2015-08-14 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,51811;1
2015-08-14 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,13664;1
2015-08-14 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,32137;1
2015-08-14 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,90295;1
2015-08-14 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,10597;1
2015-08-14 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,22154;1
2015-08-14 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,66635;1
2015-08-14 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,31691;1
2015-08-14 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,48226;1
2015-08-14 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,30563;1
2015-08-14 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,71777;1
2015-08-14 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,59692;1
2015-08-15 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,36223;1
2015-08-15 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,29343;1
